
Iteration 0
Plate0,Plate1,Plate2,Plate3,Plate4,Plate5,Plate6,Plate7,Plate8,Plate9,Plate10,Plate11,Plate12,Plate13,Plate14,Plate15,Plate16,Plate17,Plate18,Plate19,Plate20,Plate21,Plate22,Plate23,Plate24,Plate25,Plate26,Plate27,Plate28,Plate29,Plate30,Plate31,Plate32,Plate33,Plate34,Plate35,Plate36,Plate37,Plate38,Plate39,Plate40,Plate41,Plate42,Plate43,Plate44,Plate45,Plate46,Plate47,Plate48,Plate49,Plate50,Plate51,Plate52,Plate53,Plate54,Plate55,Plate56,Plate57,Plate58,Plate59,Plate60,Plate61,Plate62,Plate63,Plate64,Plate65,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,50,42.9688,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,42.1875,43.75,49.2188,100,
100,56.1401,49.1211,48.9868,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,48.9746,49.0234,49.8657,56.1523,100,
100,57.0175,50.7515,49.8734,49.8461,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8459,49.8718,49.8598,49.9832,57.0169,100,
100,57.1389,50.0939,49.9935,49.9808,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9792,49.9807,49.9794,49.9825,50.8866,57.1271,100,
100,57.1424,50.9044,49.9992,49.9972,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,49.9969,49.9974,50.0113,50.1108,57.1547,100,
100,57.1569,50.1131,50.014,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9996,49.9998,50.0014,50.9071,57.1443,100,
100,57.1446,50.9074,50.0017,50.0002,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,49.9999,50,50.0143,50.1134,57.1572,100,
100,57.1573,50.1134,50.0144,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50.0002,50.0018,50.9075,57.1447,100,
100,57.1447,50.9075,50.0018,50.0002,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50.0144,50.1134,57.1573,100,
