
Iteration 28
Plate0,Plate1,Plate2,Plate3,Plate4,Plate5,Plate6,Plate7,Plate8,Plate9,Plate10,Plate11,Plate12,Plate13,Plate14,Plate15,Plate16,Plate17,Plate18,Plate19,Plate20,Plate21,Plate22,Plate23,Plate24,Plate25,Plate26,Plate27,Plate28,Plate29,Plate30,Plate31,Plate32,Plate33,Plate34,Plate35,Plate36,Plate37,Plate38,Plate39,Plate40,Plate41,Plate42,Plate43,Plate44,Plate45,Plate46,Plate47,Plate48,Plate49,Plate50,Plate51,Plate52,Plate53,Plate54,Plate55,Plate56,Plate57,Plate58,Plate59,Plate60,Plate61,Plate62,Plate63,Plate64,Plate65,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,49.9152,30.2604,21.3985,17.0239,14.859,13.7372,13.2745,12.9946,12.9578,12.8624,12.9093,12.8444,12.9037,12.8425,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8423,12.9031,12.8424,12.9033,12.8429,12.905,12.8489,12.9221,12.8994,13.0504,13.2233,13.7812,14.8248,17.0468,21.3861,30.2651,49.9143,100,
100,69.4303,49.7143,38.0367,31.4035,27.7181,25.8856,24.8889,24.5554,24.2856,24.3118,24.1883,24.2782,24.1764,24.2746,24.1753,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2743,24.1752,24.2744,24.1755,24.2754,24.1793,24.2867,24.2145,24.3804,24.4655,24.9702,25.8173,27.7689,31.3723,38.0504,49.7122,69.4288,100,
100,78.2231,61.2236,49.5082,42.0917,37.7849,35.3684,34.2573,33.6128,33.4737,33.2731,33.3447,33.2238,33.3288,33.2184,33.3273,33.218,33.3272,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3271,33.2179,33.3272,33.218,33.3276,33.2197,33.3327,33.2366,33.3796,33.3705,33.7094,34.172,35.4365,37.739,42.1135,49.5066,61.2145,78.2316,100,
100,82.5945,67.8251,56.8307,49.3919,44.8122,42.2789,40.8904,40.334,39.9701,39.9492,39.8116,39.8929,39.7911,39.8867,39.7891,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.7889,39.8861,39.789,39.8863,39.7895,39.8881,39.7962,39.9075,39.8552,40.0601,40.2516,40.9597,42.229,44.8375,49.392,56.8114,67.8512,82.5765,100,
100,84.8223,71.5727,61.189,53.991,49.3978,46.7476,45.3922,44.6696,44.4332,44.2417,44.2667,44.1767,44.2452,44.1693,44.243,44.1686,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1685,44.2429,44.1687,44.2435,44.171,44.2505,44.1938,44.3125,44.3668,44.7278,45.3479,46.7716,49.399,53.965,61.2317,71.5289,84.8501,100,
100,86.0193,73.5355,63.7309,56.6434,52.1551,49.4971,48.0792,47.4182,47.0718,46.9883,46.8913,46.9232,46.8672,46.9157,46.8648,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.915,46.8646,46.9152,46.8653,46.9175,46.8733,46.9403,46.9416,47.114,47.3846,48.0986,49.4983,52.1291,56.6929,63.6677,73.5948,85.9833,100,
100,86.5706,74.6502,64.9959,58.1813,53.6547,51.0566,49.6349,48.9356,48.6414,48.4863,48.4644,48.4164,48.4409,48.4082,48.4386,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4074,48.4384,48.4076,48.4391,48.4102,48.4468,48.435,48.5135,48.6188,48.9495,49.6353,51.0357,53.7,58.114,65.0744,74.5796,86.6127,100,
100,86.9038,75.0993,65.7591,58.8743,54.5123,51.8488,50.4648,49.7647,49.4463,49.3266,49.2611,49.2592,49.236,49.2514,49.2333,49.2507,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2331,49.2506,49.2332,49.2508,49.2339,49.2532,49.2423,49.277,49.3129,49.4553,49.7644,50.4508,51.8831,54.4541,58.9536,65.6705,75.1773,86.8578,100,
100,86.9927,75.4288,65.996,59.3325,54.8491,52.2958,50.8584,50.1808,49.8632,49.7289,49.6844,49.658,49.6605,49.6496,49.6581,49.6488,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.6487,49.6579,49.649,49.6586,49.6516,49.6665,49.6768,49.7342,49.8625,50.1727,50.8807,52.2534,54.915,59.2461,66.0905,75.3464,87.0411,100,
